firstNoun,connectorParticle,secondNoun
ABHAKEN,,LISTE
ABGEZOCKT,,-HEIT
ABHÖREN,,AKTION
ABGOTT,,SCHLANGE
ABHÄNGIGKEIT,S,GEFÜHL
ABHOLEN,,STATION
ABGRÜNDIG,,-KEIT
ABGOTT,ÖTT,-EREI
ABGRENZUNG,,VERSUCH
ABHÖREN,,DIENST
ABHÄRTEN,,-UNG
ABGÄNGIG,,-KEIT
ABHÖREN,,APPARAT
AB-,,HITZE
ABHOLZEN,,-UNG
ABHÖREN,,ANLAGE
ABHÖREN,,VERBOT
ABHALTEN,,-UNG
ABGRENZEN,,-UNG
ABHÖREN,,RAUM
ABHÖREN,,AFFÄRE
ABITURIENT,,KLASSE
ABHÖREN,,GESETZ
ABHORCHEN,,APPARAT
ABHÖREN,,STATION
ABHÄNGIGKEIT,,SYNDROM
ABHÖREN,,SKANDAL
ABHÖREN,,PRAKTIK
ABITURIENT,,PRÜFUNG
ABHÖREN,,TISCH
ABITURIENT,,EXAMEN
ABHÖREN,,PROTOKOLL
ABIRREN,,-UNG
ABHÖREN,,KABINE
ABHEILEN,,-UNG
ABHÖREN,,GERÄT
ABGLEICHEN,,-UNG
ABHEBEN,,-UNG
ABHOLEN,,MARKT
ABITUR,,NIVEAU
ABITUR,,AUFSATZ
ABHÖREN,,MASSNAHME
ABHÖREN,,WANZE
ABITURIENT,,LEHRGANG
ABHOLEN,,DIENST
ABISOLIEREN,,ZANGE
ABHÄNGIGKEIT,,VERHÄLTNIS
ABITUR,,NOTE
ABI,,SCHNITT
ABKLINGEN,,BECKEN
ABHÄNGIG,,-KEIT
ABKANTEN,,-UNG
ABKAPSELN,,-UNG
ABKLÄREN,,-UNG
ABKOMMANDIEREN,,-UNG
AB-,,KLATSCH
ABKLINGEN,,ZEIT
ABHÄNGIGKEIT,S,ERKRANKUNG
ABI,,FEIER
ABKÜRZUNG,,SPRACHE
ABLAGE,,URNE
ABLAGERN,,-UNG
ABLASS,,ERTEILUNG
ABLAGERUNG,S,FORM
ABKOMME,ÖMM,-LING
ABLADEN,,GLEIS
